,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
164,2 wins & 5 nominations.,USA,17 Oct 2000,Edward Norton,"English, Hebrew, Spanish",60,"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNzg3MzQ3Nl5BMl5BanBnXkFtZTYwOTY4Nzc5._V1_SX300.jpg,Touchstone Pictures,PG-13,6.4/10,Internet Movie Database,14 Apr 2000,True,128 min,Keeping the Faith,movie,http://studio.go.com/movies/keepingthefaith/index.html,2000,tt0171433,6.4,"46,754"
167,1 nomination.,UK,30 Apr 2002,Ed Bye,"English, Spanish",N/A,"Kevin and Perry are two 15-year-old boys whose desperation to lose their virginity is so great that it inspires a sort of awe. In the rare moments when they're not thinking about girls, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTI0MTg4M15BMl5BanBnXkFtZTcwMTI1NDMzMQ@@._V1_SX300.jpg,Paramount Pictures,R,5.4/10,Internet Movie Database,21 Apr 2000,True,82 min,Kevin & Perry Go Large,movie,http://www.kevinandperry.co.uk/index1.html,2000,tt0205177,5.4,"10,851"
169,N/A,"Germany, USA, UK, Canada",19 Dec 2000,Marek Kanievska,English,49,"Carol Ann MacKay is a fine, popular nurse at a retirement home, and spends her free time with her hunky athletic husband Wayne MacKay, who was the star of her school's football team when ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MzY3NTExMF5BMl5BanBnXkFtZTcwNjU2ODkxMQ@@._V1_SX300.jpg,USA Home Entertainment,PG-13,6.3/10,Internet Movie Database,14 Apr 2000,True,89 min,Where the Money Is,movie,http://www.wherethemoneyismovie.com,2000,tt0149367,6.3,"4,785"
172,3 nominations.,USA,31 Oct 2000,Davis Guggenheim,"English, Italian",31,"Three college students base their class project around gossip and how fast it spreads, which soon spirals out of control.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y5YWJlZjMtNGFmYS00MDE1LWE3ZjktMDBkMjc1YTY0YWJhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Warner Home Video,R,5.9/10,Internet Movie Database,21 Apr 2000,True,90 min,Gossip,movie,http://www.believegossip.com,2000,tt0176783,5.9,"13,167"
175,12 wins & 15 nominations.,USA,10 Oct 2000,Gina Prince-Bythewood,"English, Spanish",70,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NjY4NTI5MF5BMl5BanBnXkFtZTYwNjQ4OTc3._V1_SX300.jpg,New Line Cinema,PG-13,7.2/10,Internet Movie Database,21 Apr 2000,True,124 min,Love & Basketball,movie,http://www.loveandbasketball.com,2000,tt0199725,7.2,"15,733"
178,Won 1 Oscar. Another 3 wins & 10 nominations.,"France, USA",24 Oct 2000,Jonathan Mostow,"English, German",62,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDE0YzUwMzMtY2NhZS00OGYxLWFhOWItN2ZlZThjOTA0NDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Studios Home Video,PG-13,6.6/10,Internet Movie Database,21 Apr 2000,True,116 min,U-571,movie,http://www.u-571.com,2000,tt0141926,6.6,"69,737"
181,1 win & 9 nominations.,USA,26 Sep 2000,Brian Levant,English,27,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTUzYzQzMGQtNTYyNS00NmUzLThmZmUtMmIyNjQzNDU4YWYwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Universal Pictures,PG,3.6/10,Internet Movie Database,28 Apr 2000,True,90 min,The Flintstones in Viva Rock Vegas,movie,http://www.vivarockvegas.com,2000,tt0158622,3.6,"17,209"
184,Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,USA,31 Oct 2000,Gregory Hoblit,English,67,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NTgyOTIxN15BMl5BanBnXkFtZTYwMTUwODY3._V1_SX300.jpg,New Line Cinema,PG-13,7.4/10,Internet Movie Database,28 Apr 2000,True,118 min,Frequency,movie,http://www.frequencymovie.com,2000,tt0186151,7.4,"89,558"
187,1 win & 2 nominations.,USA,26 Sep 2000,Matt Williams,English,30,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGZkNjMxYWItYzRjZC00MzA2LWE0YWYtYjIzMmU2MTJiNmEyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,6.8/10,Internet Movie Database,28 Apr 2000,True,120 min,Where the Heart Is,movie,http://www.foxmovies.com,2000,tt0198021,6.8,"28,966"
190,2 nominations.,USA,26 Dec 2000,Mike Figgis,English,65,Four frames of simultaneous action that alternately follow a smitten lesbian lover as she obsesses over her partner's dalliances and the tense goings-on of a Hollywood film production company.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzQ5ODA5Ml5BMl5BanBnXkFtZTYwMzA3ODg2._V1_SX300.jpg,Sony Pictures Entertainment,R,6.2/10,Internet Movie Database,28 Apr 2000,True,97 min,Timecode,movie,http://www.timecode2000.com,2000,tt0220100,6.2,"6,093"
196,3 nominations.,USA,29 Aug 2000,Hugh Hudson,English,33,"Kuki, a divorced Italian socialite, changes her life after a serious car crash. She accepts a marriage proposal from Paolo Gallmann, a man she doesn't know well, and she moves to Kenya with...",https://images-na.ssl-images-amazon.com/images/M/MV5BZGQyODhhN2QtNTM4Ni00YmI0LWI2NjctM2Y1OWU2NzkwZDc0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,5.6/10,Internet Movie Database,05 May 2000,True,114 min,I Dreamed of Africa,movie,http://www.spe.sony.com/movies/jump/dreamafrica.html,2000,tt0167203,5.6,"3,954"
199,1 nomination.,USA,13 Feb 2001,"Don Kempf, James D. Stern",English,57,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyMDg2NTAyM15BMl5BanBnXkFtZTcwMzg3MDU1MQ@@._V1_SX300.jpg,Giant Screen Sport,NOT RATED,7.5/10,Internet Movie Database,05 May 2000,True,46 min,Michael Jordan to the Max,movie,N/A,2000,tt0245280,7.5,"1,811"
202,19 wins & 3 nominations.,USA,16 Jan 2001,Roger Christian,English,9,"After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0Njk2OTM3OF5BMl5BanBnXkFtZTYwNTAyMzc3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,2.4/10,Internet Movie Database,12 May 2000,True,118 min,Battlefield Earth,movie,http://www.battlefieldearth.net,2000,tt0185183,2.4,"68,969"
205,1 win.,USA,08 May 2001,Nicholas Hytner,English,52,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,https://images-na.ssl-images-amazon.com/images/M/MV5BODk2MjYwNDQ4MV5BMl5BanBnXkFtZTYwNzc1NDY2._V1_SX300.jpg,Columbia Pictures,PG-13,6.7/10,Internet Movie Database,12 May 2000,True,115 min,Center Stage,movie,http://www.unitic.com/centerstage,2000,tt0210616,6.7,"16,782"
208,N/A,USA,26 Sep 2000,"Scott Alexander, Larry Karaszewski",English,7,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDQwMzlmOGMtYmE5Mi00ZWYwLTkzOTAtMDdjNzgzNzRiN2VkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Universal Pictures,PG-13,5.7/10,Internet Movie Database,12 May 2000,True,81 min,Screwed,movie,http://www.screwedmovie.com,2000,tt0156323,5.7,"7,338"
214,4 wins & 9 nominations.,USA,19 Dec 2000,Todd Phillips,English,55,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,https://images-na.ssl-images-amazon.com/images/M/MV5BODA4ZGRhZjgtMTYwMy00MDQzLTkxNTUtYTYwZjE5NDRiZTRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks Distribution LLC,R,6.5/10,Internet Movie Database,19 May 2000,True,93 min,Road Trip,movie,http://www.roadtrip-itsgood.com,2000,tt0215129,6.5,"142,735"
217,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,USA,19 Dec 2000,Woody Allen,English,69,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA2NTBiMzEtMDA2My00YWNhLWJjMjAtYTUyMzMwNjM0Mjk2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,DreamWorks SKG,PG,6.7/10,Internet Movie Database,19 May 2000,True,94 min,Small Time Crooks,movie,http://www.amazon.com/smalltimecrooks,2000,tt0196216,6.7,"33,432"
220,1 win & 7 nominations.,"USA, Hong Kong",10 Oct 2000,Tom Dey,"English, Mandarin, Sioux, Spanish",77,"A Chinese man travels to the Wild West to rescue a kidnapped princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_SX300.jpg,Buena Vista Internationa,PG-13,6.6/10,Internet Movie Database,26 May 2000,True,110 min,Shanghai Noon,movie,http://studio.go.com/movies/shanghainoon/index.html,2000,tt0184894,6.6,"105,658"
223,1 win & 9 nominations.,"USA, Germany",28 Nov 2000,Raja Gosnell,English,33,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjdlYmUtNjQ1Zi00YTg3LTliNTgtZmNkOTRmYzEzYTMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,5.1/10,Internet Movie Database,02 Jun 2000,True,99 min,Big Momma's House,movie,N/A,2000,tt0208003,5.1,"72,310"
226,1 nomination.,USA,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A,7.1/10,Internet Movie Database,N/A,True,N/A,Gone in 60 Seconds: The Ride,movie,N/A,2000,tt0315906,7.1,14
227,1 win & 2 nominations.,"UK, France, USA",19 Dec 2000,Kenneth Branagh,English,35,"An update of the classic Shakespeare story, director Kenneth Branagh shot this movie like a classic 30s musical. The film tells the story of four best friends who swear off love.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjYzMDY4N15BMl5BanBnXkFtZTcwODU5ODEyMQ@@._V1_SX300.jpg,Miramax Films,PG,6.1/10,Internet Movie Database,31 Mar 2000,True,93 min,Love's Labour's Lost,movie,http://www.guildpathe.co.uk/LLL,2000,tt0182295,6.1,"4,036"
230,N/A,USA,14 Nov 2000,Robert Iscove,English,29,A friendship is put to the ultimate test when two best friends wind up in bed together.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNjIzNTI4Ml5BMl5BanBnXkFtZTcwNzAzMjk0MQ@@._V1_SX300.jpg,Miramax,PG-13,5.4/10,Internet Movie Database,16 Jun 2000,True,94 min,Boys and Girls,movie,http://www.sexchangeseverything.com,2000,tt0204175,5.4,"14,570"
233,1 win & 13 nominations.,"Germany, USA",12 Dec 2000,John Singleton,"English, German, Spanish",50,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmJhNWMyOTUtZjgwZS00YzdjLTk1MmMtODJlOTExMDQ3MDU5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Paramount Pictures,R,5.9/10,Internet Movie Database,16 Jun 2000,True,99 min,Shaft,movie,http://www.shaft-themovie.com,2000,tt0162650,5.9,"62,341"
236,1 win & 6 nominations.,USA,06 Mar 2001,"Don Bluth, Gary Goldman, Art Vitello","English, Mandarin",48,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_SX300.jpg,20th Century Fox,PG,6.6/10,Internet Movie Database,16 Jun 2000,True,94 min,Titan A.E.,movie,http://www.afterearth.com,2000,tt0120913,6.6,"54,602"
239,Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,"UK, USA, France",21 Nov 2000,"Peter Lord, Nick Park",English,88,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2UyYjFkNzAtYzIyMC00MGI1LTlkNDktNzUyOGQ5NTI2ZGFjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Dreamworks Pictures,G,7.0/10,Internet Movie Database,23 Jun 2000,True,84 min,Chicken Run,movie,http://www.reel.com/reel.asp?node=chickenrun,2000,tt0120630,7.0,"154,129"
242,2 wins & 4 nominations.,USA,24 May 2001,"Bobby Farrelly, Peter Farrelly","English, German",49,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,https://images-na.ssl-images-amazon.com/images/M/MV5BODMwMDY2YzUtNGFiNS00NDA1LWI4YzMtYzVmM2RlZTk3NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,6.6/10,Internet Movie Database,23 Jun 2000,True,116 min,"Me, Myself & Irene",movie,http://www.memyselfandirene.com,2000,tt0183505,6.6,"200,125"
245,Nominated for 3 Oscars. Another 8 wins & 18 nominations.,"USA, Germany",25 Apr 2006,Roland Emmerich,English,63,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg,Columbia Pictures,R,7.2/10,Internet Movie Database,28 Jun 2000,True,165 min,The Patriot,movie,http://www.spe.sony.com/movies/thepatriot,2000,tt0187393,7.2,"225,229"
250,1 win & 3 nominations.,USA,23 Jan 2003,Jon Turteltaub,English,45,An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTYwM2JmNzgtNzVjMi00NzQ4LTk2MDQtOTE4N2U0ODU0YjYwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,Disney,PG,6.1/10,Internet Movie Database,07 Jul 2000,True,104 min,The Kid,movie,http://disney.go.com/disneypictures/thekid/homepage.html,2000,tt0219854,6.1,"36,537"
253,7 wins & 5 nominations.,USA,12 Dec 2000,Keenen Ivory Wayans,English,48,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dimension Films,R,6.2/10,Internet Movie Database,07 Jul 2000,True,88 min,Scary Movie,movie,http://www.scarymovie.com,2000,tt0175142,6.2,"203,558"
259,1 nomination.,USA,19 Dec 2000,Amy Heckerling,English,35,"A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MDE5MTc5Nl5BMl5BanBnXkFtZTYwNzIzMzE3._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,5.3/10,Internet Movie Database,21 Jul 2000,True,98 min,Loser,movie,http://www.spe.sony.com/movies/jump/f_loser.html,2000,tt0217630,5.3,"24,224"
262,N/A,USA,01 Jun 2004,Mary Lambert,English,14,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNDIyOTM2N15BMl5BanBnXkFtZTYwNjcxOTk4._V1_SX300.jpg,Warner Home Video,PG-13,4.6/10,Internet Movie Database,19 Jul 2000,True,105 min,The In Crowd,movie,http://www.in-crowd.com,2000,tt0163676,4.6,"3,807"
268,2 nominations.,"UK, USA, Canada",31 Oct 2000,Britt Allcroft,English,19,"Thomas the Tank Engine's feature film debut follows Thomas and Mr. Conductor (Alec Baldwin) as they cross between the real world and the fictional Island of Sodor, in an attempt to recover lost gold dust.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjMxYTc1OWQtNWNlYS00YWI0LTlmOGYtYTA2NzExMDcwMTk5XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Destination Films,G,3.8/10,Internet Movie Database,26 Jul 2000,True,85 min,Thomas and the Magic Railroad,movie,http://www.magicrailroad.com,2000,tt0205461,3.8,"3,162"
271,2 wins & 12 nominations.,USA,05 Dec 2000,Peter Segal,English,38,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjcyOWM2NTUtYzRjYS00ZTQ4LWFlZGItNTE2MDg4MGIxNjAyXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Universal Pictures,PG-13,4.4/10,Internet Movie Database,28 Jul 2000,True,106 min,Nutty Professor II: The Klumps,movie,http://www.klumps.com,2000,tt0144528,4.4,"42,731"
274,4 wins & 7 nominations.,USA,29 Dec 2000,David McNally,English,27,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",https://images-na.ssl-images-amazon.com/images/M/MV5BZWZhZmFkMjQtMWYyMC00NmQ3LTk5M2MtZDU3ZjNjYmM0ZTYxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Buena Vista,PG-13,5.6/10,Internet Movie Database,04 Aug 2000,True,100 min,Coyote Ugly,movie,http://studio.go.com/movies/coyoteugly/index.html,2000,tt0200550,5.6,"96,506"
277,Nominated for 1 Oscar. Another 7 wins & 11 nominations.,"USA, Germany",08 May 2001,Paul Verhoeven,English,24,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,R,5.7/10,Internet Movie Database,04 Aug 2000,True,112 min,Hollow Man,movie,http://www.spe.sony.com/movies/hollowman,2000,tt0164052,5.7,"109,269"
280,Nominated for 1 Golden Globe. Another 4 wins & 8 nominations.,UK,19 Dec 2000,Nigel Cole,"English, French",62,"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2YyNGQyMmEtOGIwOS00N2QyLWFlNzEtNjRjYzFmMjJmY2M5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Fine Line Features,R,6.9/10,Internet Movie Database,01 Sep 2000,True,93 min,Saving Grace,movie,http://www.saving-grace-movie.com,2000,tt0195234,6.9,"16,204"
283,Nominated for 1 Oscar. Another 4 wins & 7 nominations.,USA,17 Apr 2001,Clint Eastwood,English,73,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,6.4/10,Internet Movie Database,04 Aug 2000,True,130 min,Space Cowboys,movie,http://www.spacecowboys.net,2000,tt0186566,6.4,"65,008"
286,3 nominations.,USA,14 Nov 2001,Joan Chen,English,24,"Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWFlM2VmYTUtZmFmMC00N2Y1LWE3NmUtYWI5MWZiMTY3NDRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,MGM,PG-13,5.5/10,Internet Movie Database,11 Aug 2000,True,103 min,Autumn in New York,movie,http://www.mgm.com/autumninny/index.html,2000,tt0174480,5.5,"22,043"
289,1 win & 6 nominations.,"USA, Germany",13 Feb 2001,Chuck Russell,English,17,"Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. Agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult wanting to harness her abilities.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWUwMmRiZDktMjMzMy00ZGZhLTlmNDItN2M3Yjc3MGExNzAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,5.1/10,Internet Movie Database,11 Aug 2000,True,107 min,Bless the Child,movie,http://www.blessthechild.com,2000,tt0163983,5.1,"12,782"
